ts,eps_est,eps_rep,surprise_pct
2002-04-17 16:00:00-04:00,,,1088.89
2002-04-17 16:00:00-04:00,,,12.64
2002-07-16 16:00:00-04:00,,,13.43
2002-07-16 16:00:00-04:00,,,2.55
2002-10-16 16:00:00-04:00,,,-18.18
2003-01-15 16:00:00-05:00,,,1.89
2003-04-16 16:00:00-04:00,,,108.82
2003-07-16 16:00:00-04:00,,,53.45
2003-10-15 16:00:00-04:00,,,17.21
2004-01-14 16:00:00-05:00,,,11.28
2004-04-14 16:00:00-04:00,,,47.06
2004-07-14 06:00:00-04:00,,,23.28
2004-10-13 16:00:00-04:00,,,47.85
2005-01-12 16:00:00-05:00,0.01,0.01,42.05
2005-04-13 16:00:00-04:00,0.01,0.01,49.88
2005-07-13 16:00:00-04:00,0.01,0.01,18.79
2005-10-11 16:00:00-04:00,0.01,0.01,3.35
2006-01-18 16:00:00-05:00,0.02,0.02,5.84
2006-04-19 16:00:00-04:00,0.01,0.02,12.23
2006-07-19 16:00:00-04:00,0.02,0.02,23.34
2006-10-18 16:00:00-04:00,0.02,0.02,21.18
2007-01-17 16:00:00-05:00,0.03,0.04,45.81
2007-04-25 16:00:00-04:00,0.02,0.03,36.51
2007-07-25 16:00:00-04:00,0.03,0.03,27.71
2007-10-22 16:00:00-04:00,0.03,0.04,20.43
2008-01-22 16:00:00-05:00,0.06,0.06,8.87
2008-04-23 16:00:00-04:00,0.04,0.04,7.97
2008-07-21 16:00:00-04:00,0.04,0.04,10.02
2008-10-21 16:00:00-04:00,0.04,0.05,13.12
2009-01-21 16:00:00-05:00,0.05,0.06,27.6
2009-04-22 16:00:00-04:00,0.04,0.05,21.55
2009-07-21 16:00:00-04:00,0.04,0.05,15.14
2009-10-19 16:00:00-04:00,0.05,0.07,27.38
2010-01-25 16:00:00-05:00,0.07,0.13,74.9
2010-04-20 20:00:00-04:00,0.09,0.12,36.29
2010-07-20 16:00:00-04:00,0.11,0.13,12.93
2010-10-18 16:00:00-04:00,0.15,0.17,13.62
2011-01-18 16:00:00-05:00,0.19,0.23,19.21
2011-04-20 16:00:00-04:00,0.19,0.23,19.59
2011-07-19 16:00:00-04:00,0.21,0.28,33.38
2011-10-18 16:00:00-04:00,0.26,0.25,-3.13
2012-01-24 16:00:00-05:00,0.36,0.5,36.99
2012-04-24 16:00:00-04:00,0.35,0.44,23.8
2012-07-24 16:00:00-04:00,0.37,0.33,-10.1
2012-10-25 16:00:00-04:00,0.31,0.31,-0.85
2013-01-23 16:00:00-05:00,0.48,0.49,2.04
2013-04-23 16:00:00-04:00,0.36,0.36,0.93
2013-07-23 16:00:00-04:00,0.26,0.27,2.52
2013-10-28 16:00:00-04:00,0.28,0.3,3.79
2014-01-27 16:00:00-05:00,0.5,0.52,3.22
2014-04-23 16:00:00-04:00,0.36,0.42,14.28
2014-07-22 16:00:00-04:00,0.31,0.32,3.82
2014-10-20 16:00:00-04:00,0.33,0.36,8.62
2015-01-27 16:00:00-05:00,0.65,0.77,17.36
2015-04-27 16:00:00-04:00,0.54,0.58,7.93
2015-07-21 16:00:00-04:00,0.45,0.46,1.89
2015-10-27 16:00:00-04:00,0.47,0.49,4.65
2016-01-26 16:00:00-05:00,0.81,0.82,1.67
2016-04-26 16:00:00-04:00,0.5,0.48,-5.09
2016-07-26 16:00:00-04:00,0.35,0.36,2.74
2016-10-25 16:00:00-04:00,0.41,0.42,0.81
2017-01-31 16:00:00-05:00,0.81,0.84,4.25
2017-05-02 16:00:00-04:00,0.51,0.53,3.88
2017-08-01 16:00:00-04:00,0.39,0.42,6.15
2017-11-02 16:00:00-04:00,0.47,0.52,10.53
2018-02-01 16:00:00-05:00,0.96,0.97,1.1
2018-05-01 16:00:00-04:00,0.67,0.68,2.19
2018-07-31 16:00:00-04:00,0.54,0.59,7.38
2018-11-01 16:00:00-04:00,0.7,0.73,4.55
2019-01-29 16:00:00-05:00,1.04,1.05,0.27
2019-04-30 16:00:00-04:00,0.59,0.62,4.05
2019-07-30 16:00:00-04:00,0.53,0.55,3.71
2019-10-30 16:00:00-04:00,0.71,0.76,6.54
2020-01-28 16:00:00-05:00,1.13,1.25,9.97
2020-04-30 17:00:00-04:00,0.56,0.64,12.93
2020-07-30 16:00:00-04:00,0.52,0.65,24.47
2020-10-29 16:00:00-04:00,0.7,0.73,4.48
2021-01-27 16:00:00-05:00,1.42,1.68,18.67
2021-04-28 16:00:00-04:00,0.98,1.4,42.16
2021-07-27 16:00:00-04:00,1.01,1.3,28.18
2021-10-28 16:00:00-04:00,1.24,1.24,0.17
2022-01-27 16:00:00-05:00,1.89,2.1,11.2
2022-04-28 16:00:00-04:00,1.43,1.52,6.48
2022-07-28 16:00:00-04:00,1.15,1.2,3.93
2022-10-27 16:00:00-04:00,1.27,1.29,1.44
2023-02-02 16:00:00-05:00,1.95,1.88,-3.78
2023-05-04 16:00:00-04:00,1.43,1.52,6.28
